Date,price_usd,hash_rate,tx_cnt,adr_act_cnt,sply_cur,mvrv,open,high,low,close,volume,dxy,unrate,cpi
2011-03-06,0.884770973115138,0.757163362098989,1775,3340,5619750.0,3.2074455,,,,,,76.4000015258789,9.0,223.046
2011-03-07,0.877583864406779,0.583071056214914,1719,3410,5630300.0,3.17308684,,,,,,76.5,9.0,223.046
2011-03-08,0.866071591466979,0.516750177782885,2270,3893,5639650.0,3.11400943,,,,,,76.80000305175781,9.0,223.046
2011-03-09,0.86,0.503590332559942,1653,3353,5647650.0,3.08389438,,,,,,76.72000122070312,9.0,223.046
2011-03-10,0.920670309760374,0.41663112167079,1596,2916,5653150.0,3.286687,,,,,,77.27999877929688,9.0,223.046
2011-03-11,0.88,0.492382234701844,1718,3072,5659650.0,3.13277134,,,,,,76.77999877929688,9.0,223.046
2011-03-12,0.917815513150205,0.530257791217371,2872,3286,5666650.0,3.23180751,,,,,,76.77999877929688,9.0,223.046
2011-03-13,0.89249,0.443144011231659,2549,2864,5672500.0,3.12541924,,,,,,76.77999877929688,9.0,223.046
2011-03-14,0.893924922852133,0.424206232973896,2543,2899,5678100.0,3.09976092,,,,,,76.3499984741211,9.0,223.046
2011-03-15,0.87224,0.424206232973896,2725,3265,5683700.0,3.0094772,,,,,,76.33000183105469,9.0,223.046
2011-03-16,0.851211665692578,0.51510756861116,3202,3221,5690500.0,2.90524469,,,,,,76.68000030517578,9.0,223.046
2011-03-17,0.82542,0.534045346868923,3073,3133,5697550.0,2.80330055,,,,,,76.04000091552734,9.0,223.046
2011-03-18,0.801959208065459,0.454506678186317,2631,3336,5703550.0,2.72116816,,,,,,75.72000122070312,9.0,223.046
2011-03-19,0.765,0.435568899928554,2901,2955,5709300.0,2.5915635,,,,,,75.72000122070312,9.0,223.046
2011-03-20,0.7415,0.518895124262713,3728,4447,5716150.0,2.50871253,,,,,,75.72000122070312,9.0,223.046
2011-03-21,0.75897,0.560558236429792,5783,4824,5723550.0,2.56031946,,,,,,75.4000015258789,9.0,223.046
2011-03-22,0.809130292811222,0.450719122534764,2220,3967,5729500.0,2.71742347,,,,,,75.43000030517578,9.0,223.046
2011-03-23,0.84971,0.594646237293766,4225,6561,5737350.0,2.8434557,,,,,,75.79000091552734,9.0,223.046
2011-03-24,0.872374365867914,0.575708459036003,2036,4450,5744950.0,2.88481841,,,,,,75.66000366210938,9.0,223.046
2011-03-25,0.88377,0.59678695292035,1829,4172,5753600.0,2.91145917,,,,,,76.22000122070312,9.0,223.046
2011-03-26,0.8552,0.473188789594268,3192,4838,5760500.0,2.79254753,,,,,,76.22000122070312,9.0,223.046
2011-03-27,0.822,0.490333310956379,2343,4933,5767650.0,2.67675364,,,,,,76.22000122070312,9.0,223.046
